120102 Tom          Zhou              
Sales Manager        06/01/1989 $108,255
M 08/11/1969 AU
120103 Wilson       Dawes             
Sales Manager        01/01/1974  $87,975
M 01/22/1949 AU
120121 Irenie       Elvish            
Sales Rep. II        01/01/1974  $26,600
F 08/02/1944 AU
120122 Christina    Ngan              
Sales Rep. II        07/01/1978  $27,475
F 07/27/1954 AU
120123 Kimiko       Hotstone          
Sales Rep. I         10/01/2007  $26,190
F 09/28/1964 AU
120124 Lucian       Daymond           
Sales Rep. I         03/01/2007  $26,480
M 05/13/1959 AU
120125 Fong         Hofmeister        
Sales Rep. IV        03/01/1979  $32,040
M 12/06/1954 AU
120126 Satyakam     Denny             
Sales Rep. II        08/01/2006  $26,780
M 09/20/1988 AU
120127 Sharryn      Clarkson          
Sales Rep. II        11/01/1998  $28,100
F 01/04/1979 AU
120128 Monica       Kletschkus        
Sales Rep. IV        11/01/2006  $30,890
F 07/14/1986 AU
120129 Alvin        Roebuck           
Sales Rep. III       10/01/1985  $30,070
M 11/22/1964 AU
120130 Kevin        Lyon              
Sales Rep. I         05/01/2007  $26,955
M 12/14/1984 AU
120131 Marinus      Surawski          
Sales Rep. I         01/01/2007  $26,910
M 09/25/1979 AU
120132 Fancine      Kaiser            
Sales Rep. III       10/01/1978  $28,525
F 04/05/1949 AU
120133 Petrea       Soltau            
Sales Rep. II        10/01/2006  $27,440
F 04/22/1986 AU
120134 Sian         Shannan           
Sales Rep. II        01/01/1974  $28,015
M 06/06/1949 AU
120135 Alexei       Platts            
Sales Rep. IV        10/01/1997  $32,490
M 01/26/1969 AU
120136 Atul         Leyden            
Sales Rep. I         02/01/2007  $26,605
M 09/16/1979 AU
120137 Marina       Iyengar           
Sales Rep. III       03/01/2006  $29,715
F 03/12/1979 AU
120138 Shani        Duckett           
Sales Rep. I         07/01/2007  $25,795
F 07/11/1979 AU
120139 Fang         Wilson            
Sales Rep. II        09/01/2006  $26,810
F 08/18/1986 AU
120140 Michael      Minas             
Sales Rep. I         10/01/2007  $26,970
M 08/03/1988 AU
120141 Amanda       Liebman           
Sales Rep. II        05/01/2006  $27,465
F 03/12/1988 AU
120142 Vincent      Eastley           
Sales Rep. III       07/01/2006  $29,695
M 06/14/1986 AU
120143 Phu          Sloey             
Sales Rep. II        10/01/1982  $26,790
M 05/17/1959 AU
120144 Viney        Barbis            
Sales Rep. III       10/01/2006  $30,265
M 03/07/1986 AU
120145 Sandy        Aisbitt           
Sales Rep. II        06/01/1985  $26,060
M 01/22/1964 AU
120146 Wendall      Cederlund         
Sales Rep. I         08/01/2007  $25,985
M 10/02/1959 AU
120147 Skev         Rusli             
Sales Rep. II        10/01/2006  $26,580
F 01/19/1988 AU
120148 Michael      Zubak             
Sales Rep. III       06/01/1978  $28,480
M 09/13/1949 AU
120149 Judy         Chantharasy       
Sales Rep. I         01/01/2007  $26,390
F 11/21/1974 AU
120150 John         Filo              
Sales Rep. III       08/01/1982  $29,965
M 07/09/1954 AU
120151 Julianna     Phaiyakounh       
Sales Rep. II        01/01/1974  $26,520
F 11/21/1944 AU
120152 Sean         Dives             
Sales Rep. I         04/01/2007  $26,515
M 05/01/1979 AU
120153 Samantha     Waal              
Sales Rep. I         01/01/2007  $27,260
F 05/07/1979 AU
120154 Caterina     Hayawardhana      
Sales Rep. III       01/01/1974  $30,490
F 07/20/1944 AU
120155 Narelle      James             
Sales Rep. III       04/01/2006  $29,990
F 04/22/1984 AU
120156 Gerry        Snellings         
Sales Rep. I         03/01/2007  $26,445
F 09/01/1988 AU
120157 Leonid       Karavdic          
Sales Rep. II        12/01/2006  $27,860
M 02/21/1986 AU
120158 Daniel       Pilgrim           
Sales Rep. III       07/01/1987  $36,605
M 07/14/1964 AU
120159 Lynelle      Phoumirath        
Sales Rep. IV        07/01/1986  $30,765
F 02/24/1964 AU
120160 Chuck        Segrave           
Sales Rep. I         10/01/2007  $27,115
M 09/09/1954 AU
120161 Rosette      Martines          
Sales Rep. III       10/01/2006  $30,785
F 03/07/1988 AU
120162 Randal       Scordia           
Sales Rep. I         02/01/2007  $27,215
M 09/05/1988 AU
120163 Brett        Magrath           
Sales Rep. II        01/01/1991  $26,735
M 05/22/1964 AU
120164 Ranj         Stamalis          
Sales Rep. II        02/01/1982  $27,450
F 11/26/1959 AU
120165 Tadashi      Pretorius         
Sales Rep. I         03/01/2007  $27,050
M 03/19/1984 AU
120166 Fadi         Nowd              
Sales Rep. IV        01/01/1974  $30,660
M 06/14/1944 AU
120167 Kimiko       Tilley            
Sales Rep. I         02/01/2007  $25,185
F 05/04/1954 AU
120168 Selina       Barcoe            
Sales Rep. I         11/01/2007  $25,275
F 03/24/1984 AU
120169 Cos          Tannous           
Sales Rep. III       05/01/2006  $28,135
M 01/02/1984 AU
120170 Alban        Kingston          
Sales Rep. III       10/01/1992  $28,830
M 02/25/1974 AU
120171 Alena        Moody             
Sales Rep. II        09/01/2006  $26,205
F 07/19/1984 AU
120172 Edwin        Comber            
Sales Rep. III       01/01/1974  $28,345
M 04/01/1944 AU
120173 Hernani      Osborn            
Sales Rep. I         06/01/2007  $26,715
M 02/23/1954 AU
120174 Doungkamol   Simms             
Sales Rep. I         01/01/2007  $26,850
F 01/10/1944 AU
120175 Andrew       Conolly           
Sales Rep. I         10/01/2007  $25,745
M 08/18/1988 AU
